信号日,代码,名称,竞价涨幅%,竞价额(万),竞价倍率,RSI6,昨连板,昨炸板,昨首封时间,开盘首价溢价%,T+1%(竞价基准),T+2%(竞价基准),T+3%(竞价基准),T+1%(可成交基准),T+2%(可成交基准),T+3%(可成交基准)
2026-07-08,002841,视源股份,5.62,15665.2,4.48,93.57,1,0,092500,-0.07,14.57,15.27,11.91,14.65,15.35,11.99
2026-07-08,002185,华天科技,4.74,32749.48,9.14,55.27,1,5,103015,-0.3,3.31,10.19,5.05,3.62,10.52,5.37
2026-07-08,000973,佛塑科技,3.57,5118.3,4.2,62.71,1,3,093103,-0.33,-17.22,-19.54,-22.65,-16.94,-19.27,-22.39
2026-07-08,600206,有研新材,3.25,13765.07,2.45,30.55,1,1,094536,0.33,2.73,3.81,-6.57,2.4,3.47,-6.88
2026-07-08,001365,天海电子,3.22,2077.47,10.06,69.09,1,0,093818,-0.13,5.53,11.46,0.31,5.67,11.61,0.45
2026-07-08,002129,TCL中环,2.36,9781.45,7.14,38.65,1,1,100524,-0.27,-2.22,-5.5,-7,-1.96,-5.24,-6.76
2026-07-09,000977,浪潮信息,6.18,139411.78,2.22,84.7,1,0,092500,-0.24,7.86,3,2.35,8.12,3.25,2.6
2026-07-09,603137,恒尚节能,5.67,11565.6,72.62,100,7,1,092503,1.82,10.49,21.56,33.71,8.52,19.39,31.32
2026-07-09,603496,恒为科技,3.91,2344.73,13.65,66.86,1,0,093723,-0.55,0.86,0.12,-6.35,1.42,0.67,-5.84
2026-07-09,603928,兴业股份,3.91,3221.5,3.39,69.01,1,1,094438,-0.06,10.59,-0.47,-10.41,10.65,-0.41,-10.36
2026-07-10,000021,深科技,6.47,21381.26,3.45,62.67,1,0,130427,-0.3,-12.96,-12.31,-21.08,-12.7,-12.04,-20.84
2026-07-10,002552,宝鼎科技,5.36,3072.92,1.45,63.88,1,1,093103,1.28,-20.13,-14.41,-18.15,-21.14,-15.49,-19.18
2026-07-10,002409,雅克科技,5.26,17086.59,2.06,56.18,1,0,134003,0.01,-14.08,-14.78,-22.14,-14.09,-14.79,-22.15
2026-07-10,002281,光迅科技,5.23,24297.95,4.11,76.94,1,2,135224,-0.2,-13.93,-7.18,-14.34,-13.76,-6.99,-14.17
2026-07-10,600584,长电科技,5.18,54393.18,3.19,67.5,1,0,130554,0.04,-9.03,-5.68,-15.08,-9.06,-5.71,-15.11
2026-07-10,000977,浪潮信息,6.99,74458.36,0.53,100,2,2,093833,-0.43,-7.08,-7.66,-7.93,-6.67,-7.26,-7.53
2026-07-10,002851,麦格米特,4.99,16126.63,3.09,80.63,1,2,134642,0.01,-5.29,2.75,0.64,-5.3,2.74,0.63
2026-07-10,002745,木林森,7.39,6116.95,4.84,74.44,1,0,093512,-0.95,-15.37,-10.1,-12.52,-14.56,-9.24,-11.68
2026-07-13,003020,立方制药,6.94,3362.31,3,84.02,2,2,094812,-0.65,3.79,9.33,-1.6,4.47,10.05,-0.95
2026-07-13,000892,欢瑞世纪,5,3966.18,1.1,81.53,2,1,100330,1.81,-11.34,-20.18,-12.24,-12.92,-21.6,-13.81
